Subject,Age,Gender,Ethnicity,Exercise,L_category,Active,L_history,L_duration,L_intensity,LI_1,LI_2r,LI_3,LI_4r,LI_5,LI_6r,LI_7,LI_8r,LI_9,LI_10r,LF_1,LF_2r,LF_3,LF_4r,LF_5,LF_6r,LF_7,LF_8r,LF_9,LF_10r,LM_1,LM_2r,LM_3,LM_4r,LM_5,LM_6r,LM_7,LM_8r,LM_9,LM_10r,Flanker.Congruent.acc,Flanker.Incongruent.acc,Flanker.Congruent.RT,Flanker.Incongruent.RT,Flanker.Inhibition.Acc,Flanker.Inhibition.RT,WM.C3,WM.C4,WM.C5,WM.C6,WM.C7,WM.C8,WM.C9,WM.Capacity
1065,18,1,3,1,Act,1,5,5,3,4,5,4,3,5,1,3,3,4,3,4,3,5,3,5,1,4,3,5,1,4,1,4,1,5,2,5,1,3,1,100,100,488.1173,593.0261,0,104.9088,3,4,4,4.5,2.5,3.5,6,3.928571429
1066,20,0,2,1,Travel,1,5,1,4,2,5,2,4,4,2,4,4,4,3,4,3,3,4,4,5,4,4,4,4,4,3,4,2,3,3,3,4,3,2,95.95959596,85.85858586,398.3379798,451.6652525,10.1010101,53.32727273,3,4,5,6,7,7.5,9,5.928571429
1067,20,0,4,1,Listen (Music),0,5,2,3,1,5,4,2,3,3,3,3,3,3,4,5,1,5,4,5,1,4,3,3,5,1,4,4,4,2,4,2,2,4,98.97959184,98,588.1004082,646.5491,0.979591837,58.44869184,3,4,5,5,7,3.5,3.5,4.428571429
1069,23,0,2,1,View,0,3,5,1,1,5,2,4,2,4,2,3,2,5,1,5,1,5,2,4,1,4,1,4,2,3,4,3,4,4,4,4,3,4,100,94,407.2567,482.9546,6,75.6979,2,4,4,1.5,2.5,4,5,3.285714286
1070,20,0,3,1,Read,1,5,5,2,5,5,3,4,3,1,5,4,2,4,3,4,3,3,2,3,2,5,2,3,3,4,5,2,5,4,2,2,3,3,100,95.87628866,556.0307071,618.4883505,4.12371134,62.45764344,3,4,3,6,3,4,2,3.571428571
1071,22,0,2,1,Game,1,5,5,3,2,1,5,2,4,1,3,2,5,2,4,2,5,4,2,2,5,4,2,3,4,3,5,2,3,4,2,1,5,1,98.91304348,82.41758242,388.1876087,436.971978,16.49546106,48.78436933,3,4,3.5,2.5,4,2.5,1.5,3
1072,21,0,3,1,Read,1,5,5,1,3,5,1,3,4,2,3,3,2,3,3,4,3,3,3,3,3,4,2,3,3,3,5,2,5,3,2,2,2,2,99,95,430.4852,500.8377,4,70.3525,3,4,5,6,4,2.5,2.5,3.857142857
1073,22,0,2,1,View,0,5,5,1,3,4,4,3,3,3,2,2,2,3,3,3,3,4,4,4,4,5,4,4,3,4,4,2,4,2,4,2,2,4,100,82.4742268,370.4197895,463.4165979,17.5257732,92.99680846,3,4,5,6,7,8,7,5.714285714
1074,21,1,2,1,Consume,0,5,1,2,5,4,5,4,5,1,3,5,1,5,5,3,5,3,5,1,5,1,5,1,5,1,3,3,5,1,5,4,5,4,100,96.96969697,463.8895,630.5537374,3.03030303,166.6642374,3,4,5,6,7,5,3.5,4.785714286
1075,20,1,3,1,Listen (Music),0,5,2,2,2,4,1,3,2,2,3,4,2,3,2,3,2,4,1,3,2,4,2,4,3,4,3,4,3,4,3,4,1,5,96.96969697,90.90909091,507.5331313,511.5586869,6.060606061,4.025555556,3,3,4,0.5,2,0.5,1,2
1076,19,0,3,1,Read,1,5,2,2,4,4,4,4,3,3,3,4,2,4,2,4,2,3,3,4,3,4,3,4,2,3,4,2,3,3,2,2,2,2,100,89.8989899,410.0962,474.1593939,10.1010101,64.06319394,3,4,3,4.5,4,5.5,3.5,3.928571429
1077,20,0,2,0,Instrument (Music),1,5,3,2,3,4,3,4,4,3,3,4,2,4,3,3,3,3,3,3,4,4,3,3,3,3,3,4,3,3,3,3,2,3,73.73737374,63,464.4383838,528.5216,10.73737374,64.08321616,3,4,2.5,1,2.5,2,1.5,2.357142857
